estimate,se,geoid,layer,topic
96.25173199020377,2.628464540613994,1753000,place,safety
55.84707132259263,3.1609569546021152,1753377,place,safety
100,NA,1753481,place,safety
33.92948980722592,0.6099755863629808,1753663,place,safety
67.39178270409823,4.801194849350744,1753871,place,safety
42.43417734884882,2.096057916130295,1754144,place,safety
80.23935008780401,9.090394409311445,1754638,place,safety
83.00575495106233,5.384463317451655,1754820,place,safety
89.36294252769494,3.7868798435760604,1754885,place,safety
19.18381628187763,4.952096133269263,1755938,place,safety
9.778018227668632,0.26220719514410035,1756627,place,safety
86.16672488376403,2.3106456462305127,1756640,place,safety
96.06206709425967,1.8574489714464397,1757225,place,safety
100,NA,1757381,place,safety
61.41551856695586,1.0989577790091567,1757394,place,safety
17.105007376168928,0.30607379624347575,1757407,place,safety
88.2265828494766,5.338518611392183,1757732,place,safety
95.33780574980692,3.27378701032078,1757875,place,safety
9.445142894858996,1.1151472884035707,1759572,place,safety
28.82349647608717,3.4030659245095864,1761314,place,safety
81.19247890300845,10.725199066409909,1762016,place,safety
90.64673041411912,4.975633733370439,1763706,place,safety
41.6586786387456,11.072334890862185,1764278,place,safety
93.8049902346869,3.9365504962637643,1764304,place,safety
37.34842170804826,3.5077659971228483,1764343,place,safety
40.18990866987989,1.1841676772930707,1764421,place,safety
24.9120799497591,2.9412618436495923,1764616,place,safety
90.9502618672246,4.898171045547522,1765338,place,safety
33.406545135075774,NA,1765806,place,safety
23.052861159437,1.3237718664603582,1765819,place,safety
43.405082675261546,8.264682796864967,1767769,place,safety
92.7564859222063,2.960414989083547,1768003,place,safety
68.68091820086013,3.943886472406283,1768081,place,safety
94.0367472377227,2.32800200690698,1770122,place,safety
7.307981854721874,0.4767614371577536,1770564,place,safety
19.987454326127,2.566786524223563,1770629,place,safety
93.7999210013027,3.1122511666940436,1770850,place,safety
15.464068121096991,3.9918830967662724,1772520,place,safety
15.240389180362456,1.6166581969149907,1772676,place,safety
22.52427841821552,1.6046978605939455,1772923,place,safety
95.41872958802598,2.566733098867396,1773157,place,safety
67.21808166358468,12.339749571127046,1773638,place,safety
11.72379639643248,2.2323067350535615,1775185,place,safety
90.89551041933898,4.573889534809029,1775484,place,safety
84.84515228275848,8.736245313906833,1780047,place,safety
100,NA,1780242,place,safety
86.83447071817932,5.645148277629992,1781087,place,safety
20.005149917901832,0.35796840335321,1782049,place,safety
98.76686614147788,1.0850509075052703,1782075,place,safety
100,NA,1782530,place,safety
84.67212349030294,8.270010100963148,1783518,place,safety
51.455323803999995,6.305252576699999,14,neighborhood,safety
82.066244633,6.162307104400001,18,neighborhood,safety
69.992571234,5.5801587152,2,neighborhood,safety
23.837585596999997,6.065305535,43,neighborhood,safety
46.410682457,10.307389815,45,neighborhood,safety
57.325267713,8.47461397,47,neighborhood,safety
53.419129226,10.314894898,52,neighborhood,safety
82.972889422,2.2830499496,6,neighborhood,safety
50.384738207,9.062455031499999,49,neighborhood,safety
64.642861817,4.3122648623,24,neighborhood,safety
97.645560425,1.0600909593,12,neighborhood,safety
86.874929237,4.3838592894,13,neighborhood,safety
50.269267633000005,8.0350401915,73,neighborhood,safety
72.77148466199999,7.6106534893,17,neighborhood,safety
38.978345199,7.049903941699999,20,neighborhood,safety
32.110785118,6.2708892345,25,neighborhood,safety
12.055514059000002,4.2728941842,26,neighborhood,safety
40.6315572,8.8071077082,29,neighborhood,safety
71.554258552,4.978946816700001,3,neighborhood,safety
65.599432307,5.1093128037,32,neighborhood,safety
63.571301081,7.1920648729,33,neighborhood,safety
69.091066934,6.6937618864,36,neighborhood,safety
33.598315063,6.4137335987,40,neighborhood,safety
70.052623888,6.2906181084,41,neighborhood,safety
36.481066144,6.8296207249,44,neighborhood,safety
85.961169814,3.7111688831,5,neighborhood,safety
53.135942208,7.872069045700001,57,neighborhood,safety
49.113857046999996,8.4918115007,58,neighborhood,safety
71.476374127,7.336492218099999,59,neighborhood,safety
