fac_name,site_name,fac_street,fac_city,fac_state,fac_zip,naics_code,latitude,longitude,pollutant_code,pollutant_desc,pollutant_type,emissions_uom,emissions
FRESNO UNIFIED SCHOOL DISTRICT,FRESNO UNIFIED SCHOOL DISTRICT,2309 TULARE AVE,FRESNO,CA,93721,611110,36.736277,-119.787,SO2,Sulfur Dioxide,CAP,TON,4.69e-6
NORTH TAHOE HIGH/MIDDLE SCHOOL,NORTH TAHOE HIGH/MIDDLE SCHOOL,2945 POLARIS ROAD,TRUCKEE,CA,96161,611110,39.1948,-120.1204,SO2,Sulfur Dioxide,CAP,TON,0.01
SAN FRANCISCO UNIFIED SCHOOL DIST (SFUSD),SAN FRANCISCO UNIFIED SCHOOL DIST (SFUSD),555 FRANKLIN STREET,SAN FRANCISCO,CA,94102,611110,37.779218,-122.422189,SO2,Sulfur Dioxide,CAP,TON,8.0868e-5
"SANGER UNIFIED, WAMS COGEN #1 & #2","SANGER UNIFIED, WAMS COGEN #1 & #2",1701 10TH ST,SANGER,CA,93657,611110,36.701531,-119.561031,SO2,Sulfur Dioxide,CAP,TON,0.00225
SANTA BARBARA UNIFIED SCHOOL DISTRICT,SANTA BARBARA HIGH SCHOOL,700 E. ANAPAMU STREET,SANTA BARBARA,CA,93103,611110,34.428232,-119.695293,SO2,Sulfur Dioxide,CAP,TON,0.019034
SEQUOIA UNION HIGH SCHOOL DIST,SEQUOIA UNION HIGH SCHOOL DIST,480 JAMES AVENUE,REDWOOD CITY,CA,94062,611110,37.478261,-122.241102,SO2,Sulfur Dioxide,CAP,TON,1.9e-8
CITY OF REEDLEY,CITY OF REEDLEY,1593 E PARLIER AVE,REEDLEY,CA,93654,921190,36.611278,-119.446456,SO2,Sulfur Dioxide,CAP,TON,3.36e-6
CITY OF RIPON/ACCT PAYABLES,CITY OF RIPON- PUBLIC WORKS,1598 S FRONTAGE,RIPON,CA,95366,921190,37.74684,-121.13317,SO2,Sulfur Dioxide,CAP,TON,6.3e-6
CITY OF RIVERBANK,CITY OF RIVERBANK,5203 PROSPECTORS PARKWAY,RIVERBANK,CA,95367,921190,37.713675,-120.943589,SO2,Sulfur Dioxide,CAP,TON,2.678e-5
CITY OF SAN LEANDRO - WICKS LIFT STATION,CITY OF SAN LEANDRO - WICKS LIFT STATION,14482 WICKS BOULEVARD,SAN LEANDRO,CA,94577,921190,37.697592,-122.164721,SO2,Sulfur Dioxide,CAP,TON,9.216e-6
