totalpop,agedep,drovealone,walked,fromhome,lfblack,geoid_tract
4505,68.9,86.2,3.2,3.1,100,42129808600
3039,66.8,77.4,0.8,7.6,75,42131400100
4185,73.2,86.3,2.1,4.4,53.6,42131400200
2058,76.8,55.2,0,12.4,100,42003429700
2028,45.7,76.4,6.6,1.8,92,42003430100
4519,56.5,70.9,0.9,5.7,46.2,42003430200
3072,43.4,65.7,0.5,11.3,83,42003431100
1798,45.5,72.8,3.3,10.4,88.3,42003431400
3218,31.3,72.3,7,1.6,88.5,42003431500
2400,65.7,70.8,3.8,6.8,76.3,42003432300
2158,33.3,66.5,2.3,7.8,92.9,42003432400
1931,68.4,74.8,0.7,16.2,75.9,42003434000
2514,64.9,70.2,2.1,9.7,87.2,42003435000
6724,79.4,79.1,0.4,10.8,61.2,42003437000
1514,66.2,75.2,1.2,17.2,67.9,42003439000
3800,67.5,59,6.5,20.4,73.5,42003445500
1527,84.2,73.9,3.5,17.5,57.1,42003446000
1648,69.9,77.6,0,10.4,100,42003447000
1130,72.3,69.8,11,6.7,93.5,42003448000
2573,68.4,86.1,2.9,5.5,58.3,42003449000
3007,66.5,65.3,2.3,15.4,77.9,42003450700
2441,89.2,78.8,4,1.3,67,42003450800
3696,67.4,77.2,0.5,9.6,87.1,42003451101
5565,39.1,70.9,7,7.2,43,42003451102
3874,67,80,2.4,8.8,79.7,42003451104
5003,41.2,82,3.4,6.5,75,42003451105
7283,100.8,86.4,1.3,6.5,98.2,42003451300
5883,49.8,82.5,2.4,4.7,71.4,42003452000
1777,51,90.5,0,3.2,50,42003453003
6989,31.7,77.4,1.1,8.4,74.5,42003453004
1503,58.5,84.2,3.6,2.2,83.6,42003455000
3945,67.9,83.2,0.3,9.2,NA,42003456001
7007,80.5,82.7,0,11,94.6,42003456003
4736,86.2,77.4,1.1,6.9,67,42003456004
1429,68.7,75.5,1.7,8.8,60,42003457100
3510,63.9,81.1,3,2.7,51.7,42003457200
3979,72,80.5,0.1,6.4,90.9,42003458001
4208,82.8,70.1,0,7.1,90.1,42003458002
1712,97.9,76.8,0.2,13.5,73.8,42003459101
5910,52.6,78.6,1.7,9.1,67.6,42003459102
6118,47.4,80.6,2.3,8.3,96.2,42003459201
720,30,86.1,0,5.8,89.7,42003459202
4638,68.5,75.5,0,9.2,50,42003460001
3468,76.9,76.7,0,12.8,50,42003460002
1006,58.4,75.6,2.7,6.8,53.7,42003461000
2835,79.3,76.3,1,0.9,25.2,42003462100
3317,66.9,74.2,2.5,1.4,73.2,42003462600
5253,107.1,61.3,6.8,0,86.3,42043021400
3713,66.1,58.2,11.4,5.1,66.6,42043021500
3094,74.5,52.4,7.1,0.6,65.2,42043021600
5850,67.4,82.2,0,6,74.8,42043021700
2149,48.4,82.4,0.4,2.2,54.7,42043021800
4959,77.3,81.5,0,14,76.5,42043021901
3534,64.7,77.3,1.8,6.6,67.1,42043021903
5353,71,70.5,1.8,14,59.6,42043021904
5153,62.7,76.3,1.6,6.6,73.8,42043022000
3929,89.2,83.8,2.5,3.3,52.3,42043022100
2973,61.8,66.7,2.9,3,76.4,42043022200
5727,69.9,81.1,1.3,4.1,73.8,42043022300
4396,77.5,80.9,0.5,8.7,71.4,42043022401
6500,44.6,82.1,1.6,2.8,70.1,42043022403
5737,72.9,83.2,0.4,11.1,85.7,42043022501
5444,65.5,90.4,0.1,1.6,49.2,42043022502
6381,64.5,87.1,0.2,3.4,81.9,42043022601
6228,53.3,79.6,0,8.8,75.7,42043022604
5131,64.2,71.3,0.2,14.4,56.6,42043022605
4022,85.9,71,4.4,8.8,62.2,42043022606
3680,65.8,80.3,1.5,7.8,65.3,42043022701
5644,69.1,83.9,0,6.3,77.6,42043022702
5542,54.9,82,0.4,14.7,58.2,42043022800
3796,35.4,74.3,0,11.7,23.7,42043022901
4492,65.8,79.5,1.2,5.6,53,42043022902
1751,61.5,88,0.5,3.4,47.2,42043023000
1726,68.2,78,2.5,6,74.9,42043023100
4462,58.6,76.7,3.9,0.4,66.9,42043023300
1502,77.1,65.8,7.7,8,72.5,42043023400
2512,69,78.1,3,5.3,53.6,42043023500
2908,51.4,73.2,0.1,12.5,70.9,42043023601
6066,56.9,84,2.9,3.1,84.8,42043023602
1646,66.1,80.6,7.5,1.6,59.7,42043023700
4631,59.3,75.8,6.2,1.3,54,42043023800
3133,51.9,90.1,1.2,2.7,32.8,42043023900
6403,72.4,86.8,0.7,9,97,42043024001
3078,57.7,80.6,3.3,8.4,60.8,42043024002
2143,47.2,78.7,5.4,3,46.7,42043024101
5965,65.7,64.2,2.6,30.5,100,42043024102
5994,70.9,84.2,0,8.8,73.5,42043024104
5126,72,81,5.1,8.9,72.4,42043024105
2570,50.5,81.5,3,4.1,61.8,42043024200
3334,66.5,77.7,6,8.1,64.6,42043024300
4781,56.3,70.4,1.5,6.3,NA,42043024400
3594,41.5,86.7,0.5,3,93.5,42077005704
5913,78.3,77.3,1.9,10.3,89.8,42077005705
3204,66.7,92.2,0.9,1.6,78,42077005800
6592,59.2,86.7,1.7,4,100,42077005901
1867,69.4,80,3.7,2.2,98.4,42077005902
4987,78.1,88.4,1.8,5.5,61.4,42077006001
5293,69.4,86.8,0.2,7.9,48.5,42077006002
4012,119,84,0.3,8.9,62.2,42077006101
5588,87.1,80.3,1.4,7.5,100,42077006102
8604,57.9,82.9,0.3,12.8,81,42077006203
3823,74.6,85.9,0.9,7.5,93.2,42077006204
4771,58.1,90.2,1.1,5.8,100,42077006205
7567,79.3,92.7,0,2.2,59.7,42077006206
7147,75.6,87.4,0.6,5.2,63.8,42077006302
3159,43.6,86,2.2,3.4,87.3,42077006303
4091,70.7,80.8,0.4,10.9,54.5,42077006304
6678,81.6,76.2,0,12.6,72.5,42077006305
3811,78.1,87,0,7,46.4,42077006309
4931,90.5,85.9,4.9,2.1,81.4,42077006310
4641,91.9,79.2,4.2,11.5,72.2,42077006311
3797,91.5,93.6,0.6,5.8,78.9,42077006312
3019,53,80.6,10.3,5.4,NA,42077006401
4827,74.3,85.4,0.3,8.1,100,42077006402
