X,Y,emissions,datehour
389137,3736607,43.93274,16091807
389337,3736607,43.50235,16091807
389537,3736607,41.49775,16091807
389737,3736607,38.30181,16091807
379937,3736807,28.9714,13091607
380137,3736807,27.54057,13091607
380337,3736807,27.84182,13102108
380537,3736807,29.86141,13102108
380737,3736807,31.47899,13102108
380937,3736807,32.57625,13102108
381137,3736807,33.06211,13102108
381337,3736807,32.88757,13102108
381537,3736807,32.35513,12092007
381737,3736807,36.18826,12092007
381937,3736807,37.98196,12092007
382137,3736807,37.29978,12092007
382337,3736807,38.56928,13110908
382537,3736807,42.1204,13042107
382737,3736807,45.32,13042107
382937,3736807,46.83162,13042107
383137,3736807,46.54957,13042107
383337,3736807,44.66523,13042107
383537,3736807,41.61615,13042107
383737,3736807,37.96904,13042107
383937,3736807,35.04147,14012909
384137,3736807,37.56715,14012909
384337,3736807,38.80719,14012909
384537,3736807,39.15415,14012909
384737,3736807,39.56133,14012909
384937,3736807,41.17935,12092107
385137,3736807,47.13815,12092107
385337,3736807,53.36067,12092107
385537,3736807,57.00133,12092107
385737,3736807,58.03346,12091007
385937,3736807,62.0621,12091007
386137,3736807,68.56033,12091007
386337,3736807,74.51416,12091007
386537,3736807,71.42535,12091007
386737,3736807,63.59914,15081407
386937,3736807,71.33462,12082807
387137,3736807,70.04102,12082807
387337,3736807,69.76026,15092507
387537,3736807,68.3288,15092507
387737,3736807,62.69114,15092507
387937,3736807,56.00729,15092507
388137,3736807,49.7724,15092507
388337,3736807,44.21084,15092507
388537,3736807,40.20319,12090407
388737,3736807,42.66117,16091807
388937,3736807,44.6076,16091807
389137,3736807,44.46795,16091807
389337,3736807,42.5571,16091807
389537,3736807,39.32858,16091807
389737,3736807,35.54751,12090407
379937,3737007,30.9363,13091607
380137,3737007,29.86565,13091607
380337,3737007,28.3582,13091607
380537,3737007,28.66068,13102108
380737,3737007,30.79468,13102108
380937,3737007,32.47499,13102108
381137,3737007,33.57035,13102108
381337,3737007,33.98116,13102108
381537,3737007,33.65754,13102108
381737,3737007,34.44401,12092007
381937,3737007,37.97512,12092007
382137,3737007,39.0311,12092007
382337,3737007,37.89049,13110908
382537,3737007,40.93417,13042107
382737,3737007,45.10334,13042107
382937,3737007,47.58504,13042107
383137,3737007,48.0955,13042107
383337,3737007,46.707,13042107
383537,3737007,43.82058,13042107
383737,3737007,40.06282,13042107
383937,3737007,36.04328,13042107
384137,3737007,38.05272,14012909
384337,3737007,39.47832,14012909
384537,3737007,39.61193,14012909
384737,3737007,39.33109,14012909
384937,3737007,41.31137,12092107
385137,3737007,46.65124,12092107
385337,3737007,52.5674,12092107
385537,3737007,56.22875,12092107
385737,3737007,57.70716,12091007
385937,3737007,58.93108,12091007
386137,3737007,64.29901,12091007
386337,3737007,72.04795,12091007
386537,3737007,70.06749,16082307
386737,3737007,70.00976,12082807
386937,3737007,76.19104,12082807
387137,3737007,70.44577,15091007
387337,3737007,64.0658,15091007
387537,3737007,60.27744,15092507
387737,3737007,55.76554,15092507
387937,3737007,50.75835,15092507
388137,3737007,45.88806,15092507
388337,3737007,45.17743,12090407
388537,3737007,45.01291,12090407
388737,3737007,45.26344,16091807
388937,3737007,45.41406,16091807
389137,3737007,43.59767,16091807
389337,3737007,40.34177,16091807
389537,3737007,36.16135,16091807
389737,3737007,33.89102,12090407
379937,3737207,32.43699,13091607
380137,3737207,31.91006,13091607
380337,3737207,30.81589,13091607
380537,3737207,29.22187,13091607
380737,3737207,29.55862,13102108
380937,3737207,31.81518,13102108
381137,3737207,33.55933,13102108
381337,3737207,34.64278,13102108
381537,3737207,34.95437,13102108
381737,3737207,34.44445,13102108
381937,3737207,36.60601,12092007
382137,3737207,39.66578,12092007
382337,3737207,39.75775,12092007
382537,3737207,39.59809,13110908
382737,3737207,44.35773,13042107
382937,3737207,47.94464,13042107
383137,3737207,49.43818,13042107
383337,3737207,48.72445,13042107
